No,Word,Frequency
1,barang,1495
2,sesuai,1034
3,bagus,701
4,pengiriman,637
5,cepat,633
6,beli,603
7,produk,550
8,kasih,542
9,terima,528
10,seller,473
11,??,445
12,kecewa,363
13,dikirim,362
14,kualitas,354
15,harga,353
16,packing,343
17,pakai,332
18,respon,322
19,rapi,321
20,pesanan,301
21,aman,298
22,barangnya,283
23,toko,277
24,kirim,277
25,warna,261
26,mantap,253
27,dipakai,244
28,penjual,241
29,pesan,238
30,berfungsi,229
31,"cepat,",215
32,bahan,213
33,rusak,212
34,pas,209
35,2,208
36,1,200
37,oke,199
38,proses,186
39,bahannya,184
40,packaging,182
41,semoga,179
42,"bagus,",166
43,deskripsi,161
44,order,159
45,sekali ,148
46,nyaman,147
47,belanja,144
48,ukuran,138
49,diterima,137
50,recommended,129
51,murah,126
52,&,126
53,pelayanan,122
54,bubble,121
55,ramah,119
56,original,119
57,tipis,117
58,puas,114
59,penjualnya,114
60,fast,112
61,terima kasih,111
62,3,109
63,"banget,",108
64,gambar,107
65,chat,107
66,jelek,104
67,mudah,102
68,mengecewakan,102
69,salah,100
70,komplain,100
71,warnanya,98
72,deh,97
73,suka,96
74,????,96
75,paket,95
76,lumayan,92
77,jam,92
78,coba,90
79,gampang,88
80,foto,88
81,maaf,87
82,sukses,86
83,tebal,85
84,hitam,85
85,kondisi,83
86,plastik,83
87,dikasih,83
88,tanggal,83
89,beda,82
90,cantik,82
91,awet,79
92,wrap,79
93,kurir,77
94,waktu,77
95,cek,76
96,mirip ,76
97,tolong,75
98,"baik,",74
99,pembeli,74
100,packingnya,72
101,buku,72
102,anak,71
103,bintang,69
104,pecah,69
105,kardus,69
106,harganya,69
107,"aman,",68
108,pengirimannya,68
109,hati,68
110,tokopedia,65
111,pokoknya,65
112,top,65
113,cacat,65
114,juragan,64
115,adem,64
116,cocok,64
117,parah,64
118,biar,62
119,keren,61
120,bikin,61
121,bilang,61
122,recomended,56
123,pembelian,56
124,admin,56
125,ganti,56
126,lengkap,55
127,box,55
128,sangat ,55
129,official,55
130,5,55
131,memuaskan,54
132,sayang,53
133,jahitan,53
134,patah,53
135,buruk,53
136,kemasan,52
137,jujur,52
138,4,52
139,super,51
140,"pesanan,",51
141,langganan,51
142,nyala,51
143,penyok,51
144,mahal,51
145,"rapi,",50
146,di sini,50
147,merek,50
148,alhamdulillah,49
149,produknya,48
150,"nya,",48
151,kulit,48
152,saja ,48
153,"ini,",47
154,handphone,47
155,suara,47
156,ongkos,47
157,putih,46
158,kualitasnya,46
159,no,46
160,responsif,45
161,kuat,45
162,"sampai,",44
163,dicoba,44
164,nih,44
165,store,44
166,buka,44
167,pengemasan,43
168,"sekali,",43
169,game,43
170,menyesal,43
171,"deskripsi,",43
172,sobek,43
173,mati,43
174,teliti,43
175,bekas,43
176,garansi,42
177,bukunya,42
178,modelnya,42
179,overall,41
180,asli,41
181,video,41
182,jahitannya,41
183,kapok,41
184,kabel,40
185,tokonya,40
186,"sesuai,",40
187,"mantap,",40
188,ulang,40
189,minggu,40
190,bonus,39
191,promo,39
192,the,38
193,bayar,38
194,next,38
195,6,37
196,uang,37
197,lambat,37
198,menerawang,37
199,response,36
200,??????,36
201,isi,36
202,"lama,",36
203,habis,36
204,best,35
205,normal,35
206,unboxing,35
207,sebelah,35
208,lampu,34
209,material,34
210,lembut,34
211,dus,34
212,"rusak,",34
213,konfirmasi,34
214,sampah,34
215,kokoh,33
216,cari,33
217,rumah,33
218,masker,33
219,hasilnya,33
220,:(,33
221,rugi,33
222,dibuka,32
223,dibungkus,32
224,isinya,32
225,ukurannya,32
226,terjangkau,32
227,air,32
228,senang,32
229,tes,32
230,merah,32
231,main,32
232,jualan,32
233,"oke,",31
234,kartu,31
235,"ok,",31
236,kak,31
237,jual,31
238,"rapih,",30
239,kotak,30
240,pelayanannya,30
241,"disini,",30
242,suaranya,30
243,"kecewa,",30
244,hancur,30
245,"ramah,",29
246,lancar,29
247,selamat,29
248,mending,29
249,retur,29
250,customer,29
251,kertas,29
252,berat,29
253,tanggung,29
254,dicek,29
255,review,29
256,pcs,29
257,amanah,28
258,segel,28
259,"seller,",28
260,saran,28
261,membantu,28
262,service,28
263,eh,28
264,10,28
265,baca,28
266,dipesan,27
267,ekspektasi,27
268,"respon,",27
269,mengirim,27
270,worth,27
271,alat,27
272,"dikirim,",27
273,kotor,27
274,mic,27
275,not,27
276,"murah,",26
277,tahan,26
278,terbaik,26
279,jalan,26
280,diproses,26
281,bungkus,26
282,lem,26
283,baterai,26
284,diganti,26
285,rekomen,26
286,kaki,26
287,lepas,26
288,biru,26
289,butuh,26
290,solusi,26
291,kosong,26
292,sampainya,25
293,free,25
294,instan,25
295,kalau ,25
296,bau,25
297,disuruh,25
298,dana,25
299,sok,24
300,tokped,24
301,model,24
302,orisinal,24
303,tutup,24
304,kakak,24
305,lampunya,24
306,orderan,24
307,rekomended,24
308,quality,24
309,robek,24
310,klaim,24
311,keras,24
312,sepatu,24
313,selesai,24
314,membeli,24
315,alasan,24
316,online,24
317,!,24
318,berkualitas,23
319,mulus,23
320,berkah,23
321,hilang,23
322,"bgt,",23
323,tinggal,23
324,wanginya,23
325,lucu,23
326,untung,23
327,tombol,23
328,susah,23
329,celana,23
330,bayi,23
331,gara,23
332,"aja,",23
333,info,23
334,menunggu,23
335,"ya,",22
336,"gambar,",22
337,stok,22
338,estimasi,22
339,panas,22
340,hasil,22
341,tukar,22
342,size,22
343,desainnya,22
344,ribet,22
345,menyerap,22
346,ambil,22
347,hadiah,22
348,kanan,22
349,refund,22
350,kuning,22
351,konsumen,21
352,dipasang,21
353,saya ,21
354,paking,21
355,malam,21
356,buble,21
357,botol,21
358,lengket,21
359,"tipis,",21
360,baju,21
361,berbeda,21
362,lecet,21
363,"lagi,",21
364,it,21
365,ribu,21
366,buang,21
367,ringan,20
368,rekomendasi,20
369,cepat ,20
370,diskon,20
371,iya,20
372,paketnya,20
373,basah,20
374,kepala,20
375,+,20
376,tangan,20
377,copot,20
378,charge,20
379,positif,20
380,resmi,20
381,kamera,20
382,benar-benar,20
383,"berfungsi,",20
384,bertanggung,20
385,"jelek,",20
386,payah,20
387,niat,20
388,recommend,20
389,!!!,20
390,muat,19
391,cas,19
392,bocor,19
393,usb,19
394,slow,19
395,sayangnya,19
396,pilih,19
397,"barang,",19
398,kayaknya,19
399,sehari,19
400,hijau,19
401,ekspedisi,19
402,"ada,",19
403,mesin,19
404,pagi,19
405,dijual,19
406,bolong,19
407,wangi,19
408,abu,19
409,kendala,18
410,kelengkapan,18
411,catatan,18
412,tulisan,18
413,"original,",18
414,halus,18
415,:),18
416,ulasan,18
417,adminnya,18
418,"juga,",18
419,apapun,18
420,layar,18
421,charger,18
422,pesan ,18
423,"1,",18
424,cuci,18
425,seminggu,18
426,error,18
427,tahun,18
428,malas,18
429,aduh,18
430,!!,18
431,harapan,17
432,kurirnya,17
433,sale,17
434,tks,17
435,dikirimnya,17
436,kucing,17
437,pemakaian,17
438,cat,17
439,dijamin,17
440,up,17
441,packingan,17
442,rekan,17
443,in,17
444,halaman,17
445,sedih,17
446,kado,17
447,kasar,17
448,kemarin,17
449,motif,17
450,hidup,17
451,desain,17
452,sakit,17
453,besok,17
454,plastiknya,17
455,kesalahan,17
456,8,17
457,bohong,17
458,laptop,16
459,karet,16
460,gerak,16
461,toped,16
462,"dipakai,",16
463,"2,",16
464,keterangan,16
465,permintaan,16
466,transaksi,16
467,fungsi,16
468,jernih,16
469,repeat,16
470,ujung,16
471,alamat,16
472,bersih,16
473,potongannya,16
474,kain,16
475,tidak ,16
476,"saya,",16
477,kedepannya,16
478,fitur,16
479,telepon,16
480,kiri,16
481,stik,16
482,status,16
483,kembalikan,16
484,kiriman,15
485,tujuan,15
486,seller!,15
487,termurah,15
488,kadang,15
489,12,15
490,pasang,15
491,sehat,15
492,"response,",15
493,berkali,15
494,murahan,15
495,an,15
496,"cacat,",15
497,ujungnya,15
498,pikir,15
499,"lain,",15
500,????????,15
501,susu,15
502,"patah,",15
503,baut,15
504,build,15
505,muda,15
506,menerima,15
507,9,15
508,sengaja,15
509,layak,15
510,ajukan,15
511,alhasil,15
512,"buruk,",15
513,responnya,14
514,ready,14
515,kesekian,14
516,"sampe,",14
517,dikirimkan,14
518,"responsif,",14
519,bentuk,14
520,flash,14
521,anti,14
522,-,14
523,"asli,",14
524,tas,14
525,lilin,14
526,dapat ,14
527,terpakai,14
528,repot,14
529,kemana,14
530,:,14
531,terbuka,14
532,kaos,14
533,kaca,14
534,pakai ,14
535,beban,14
536,sameday,14
537,tambahan,14
538,analog,14
539,body,14
540,kiraan,14
541,rata,14
542,asuransi,14
543,berantakan,14
544,pelanggan,14
545,cancel,14
546,ongkos kirim,14
547,complain,14
548,kg,14
549,siang,14
550,percaya,14
551,good,13
552,"sih,",13
553,gratis,13
554,kalinya,13
555,full,13
556,respond,13
557,respons,13
558,tingkatkan,13
559,and,13
560,request,13
561,dalamnya,13
562,pesannya,13
563,posisi,13
564,tinggi,13
565,hehe,13
566,"foto,",13
567,dikomplain,13
568,sore,13
569,keringat,13
570,namanya,13
571,bos,13
572,/,13
573,retak,13
574,double,13
575,??????????,13
576,dibalas,13
577,delivery,13
578,via,13
579,menit,13
580,ditoko,13
581,suruh,13
582,7,13
583,duit,13
584,perbaiki,13
585,teman,13
586,stick,13
587,qc,13
588,balas,13
589,"ori,",12
590,empuk,12
591,"enak,",12
592,pemesanan,12
593,dibanding,12
594,bermanfaat,12
595,banget,12
596,listrik,12
597,standar,12
598,"bocor,",12
599,menempel,12
600,segini,12
601,tunggu,12
